"Escherichia coli str. K-12 substr. MG1655 - GI (Reference)","Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)","Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)","Escherichia coli str. K-12 substr. MG1655 - Description (Reference)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog count (reference : comparison)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholuge status","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog NCBI RefSeq accession","Campylobacter jejuni subsp. jejuni M1 - ortholog count (reference : comparison)","Campylobacter jejuni subsp. jejuni M1 - ortholuge status","Campylobacter jejuni subsp. jejuni M1 - ortholog NCBI RefSeq accession","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog count (reference : comparison)","Burkholderia multivorans ATCC 17616 NC_010801 - ortholuge status","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog NCBI RefSeq accession","Acinetobacter baumannii 1656-2 - ortholog count (reference : comparison)","Acinetobacter baumannii 1656-2 - ortholuge status","Acinetobacter baumannii 1656-2 - ortholog NCBI RefSeq accession","Shewanella violacea DSS12 - ortholog count (reference : comparison)","Shewanella violacea DSS12 - ortholuge status","Shewanella violacea DSS12 - ortholog NCBI RefSeq accession","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog count (reference : comparison)","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholuge status","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog NCBI RefSeq accession"
"16127995","b0001","NP_414542.1","thr operon leader peptide","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16127996","b0002","NP_414543.1","fused aspartokinase I and homoserine dehydrogenase I","0","N/A","","1 to 2","SSD","WP_002854935.1","1 to 3","RBB","WP_006408212.1","1 to 3","Non-SSD","WP_001185176.1","1 to 1","SSD","WP_013050257.1","1 to 1","RBB","NP_231994.2"
"16127997","b0003","NP_414544.1","homoserine kinase","0","N/A","","1 to 1","SSD","WP_002881044.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050258.1","1 to 1","RBB","NP_231993.1"
"16127998","b0004","NP_414545.1","threonine synthase","1 to 1","SSD","WP_010947370.1","1 to 1","RBB","WP_002878020.1","1 to 1","RBB","WP_012213226.1","0","N/A","","1 to 1","SSD","WP_013050259.1","1 to 1","SSD","NP_231992.1"
"16127999","b0005","NP_414546.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128000","b0006","NP_414547.1","conserved protein, UPF0246 family","1 to 1","RBB","WP_010947096.1","0","N/A","","1 to 1","RBB","WP_006410116.1","1 to 1","SSD","WP_000880404.1","1 to 1","SSD","WP_013050273.1","1 to 1","SSD","NP_231985.1"
"16128001","b0007","NP_414548.1","predicted transporter","0","N/A","","1 to 1","RBB","WP_002865337.1","1 to 1","RBB","WP_012212582.1","1 to 1","RBB","WP_001005337.1","1 to 1","SSD","WP_013050272.1","1 to 1","Non-SSD","NP_231986.1"
"16128002","b0008","NP_414549.1","transaldolase B","0","N/A","","1 to 2","RBB","WP_014516926.1","1 to 2","RBB","WP_006413476.1","1 to 2","RBB","WP_000149851.1","1 to 1","RBB","WP_013050268.1","1 to 1","SSD","NP_233012.1"
"16128003","b0009","NP_414550.1","molybdochelatase incorporating molybdenum into molybdopterin","0","N/A","","1 to 1","RBB","WP_002856854.1","1 to 1","RBB","WP_006414341.1","0","N/A","","1 to 1","RBB","WP_013053554.1","0","N/A",""
"16128004","b0010","NP_414551.1","inner membrane protein, Grp1_Fun34_YaaH family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050105.1","1 to 1","RBB","NP_230419.1"
"16128005","b0011","NP_414552.1","conserved protein, UPF0174 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128007","b0013","NP_414554.1","conserved protein, UPF0412 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128008","b0014","NP_414555.1","chaperone Hsp70, co-chaperone with DnaJ","1 to 1","SSD","WP_015444335.1","1 to 1","SSD","WP_002826316.1","1 to 1","RBB","WP_006401601.1","1 to 1","SSD","WP_001062606.1","1 to 1","SSD","WP_013052578.1","1 to 1","SSD","NP_230502.1"
"16128009","b0015","NP_414556.1","chaperone Hsp40, co-chaperone with DnaK","1 to 1","SSD","WP_010947740.1","1 to 1","SSD","WP_002876774.1","1 to 1","RBB","WP_006417099.1","1 to 1","SSD","WP_001119029.1","1 to 1","SSD","WP_013052577.1","1 to 1","SSD","NP_230503.1"
"16128010","b0016","NP_414557.1","IS186 transposase","0","N/A","","0","N/A","","0","N/A","","2 to 3","RBB","WP_000813355.1;WP_000812657.1","0","N/A","","0","N/A",""
"16128012","b0018","NP_414559.1","regulatory protein for HokC, overlaps CDS of hokC","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128013","b0019","NP_414560.1","sodium-proton antiporter","0","N/A","","2 to 1","RBB","WP_012006796.1;WP_002855944.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050208.1","1 to 1","RBB","NP_231264.1"
"16128014","b0020","NP_414561.1","DNA-binding transcriptional activator","0","N/A","","0","N/A","","1 to 1","RBB","WP_012213708.1","0","N/A","","1 to 1","RBB","WP_013050210.1","1 to 1","SSD","NP_230326.1"
"16128015","b0021","NP_414562.1","IS1 transposase B","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128016","b0022","NP_414563.1","IS1 repressor TnpA","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128017","b0023","NP_414564.1","30S ribosomal subunit protein S20","1 to 1","RBB","WP_010948336.1","1 to 1","RBB","WP_002856547.1","1 to 1","RBB","WP_006398494.1","1 to 1","SSD","WP_000013652.1","1 to 1","SSD","WP_013050281.1","1 to 1","SSD","NP_230328.1"
"16128018","b0024","NP_414565.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128019","b0025","NP_414566.1","bifunctional riboflavin kinase/FAD synthetase","1 to 1","SSD","WP_010946671.1","1 to 1","RBB","WP_002876662.1","1 to 1","RBB","WP_006398536.1","1 to 1","SSD","WP_000771827.1","1 to 1","SSD","WP_013050283.1","1 to 1","SSD","NP_230330.1"
"16128020","b0026","NP_414567.1","isoleucyl-tRNA synthetase","1 to 1","SSD","WP_010946672.1","1 to 1","SSD","WP_002866092.1","1 to 1","RBB","WP_006416148.1","1 to 1","SSD","WP_001281035.1","1 to 1","SSD","WP_013050284.1","1 to 1","SSD","NP_230331.1"
"16128021","b0027","NP_414568.1","prolipoprotein signal peptidase (signal peptidase II)","1 to 1","SSD","WP_011946027.1","1 to 1","RBB","YP_005657316","1 to 1","RBB","WP_006398534.1","1 to 1","SSD","WP_001133879.1","1 to 1","SSD","WP_041419690.1","1 to 1","SSD","NP_230332.1"
"16128022","b0028","NP_414569.1","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)","0","N/A","","0","N/A","","1 to 1","RBB","WP_006405874.1","1 to 1","SSD","WP_000136002.1","1 to 1","SSD","WP_013050286.1","1 to 1","SSD","NP_230333.1"
"16128023","b0029","NP_414570.1","4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein","0","N/A","","1 to 1","RBB","WP_002857098.1","1 to 1","RBB","WP_006398548.1","1 to 1","SSD","WP_000407064.1","1 to 1","SSD","WP_013050287.1","1 to 1","Borderline-SSD","NP_230334.2"
"16128024","b0030","NP_414571.1","ribonucleoside hydrolase 3","0","N/A","","1 to 3","RBB","WP_002866651.1","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128025","b0031","NP_414572.1","dihydrodipicolinate reductase","1 to 1","RBB","WP_010945892.1","1 to 1","SSD","WP_002854461.1","1 to 1","RBB","WP_006407572.1","1 to 1","SSD","WP_001271389.1","1 to 1","SSD","WP_013052573.1","1 to 1","SSD","NP_232021.1"
"16128026","b0032","NP_414573.1","carbamoyl phosphate synthetase small subunit, glutamine amidotransferase","1 to 1","SSD","WP_015444336.1","1 to 1","SSD","WP_002867048.1","1 to 1","RBB","WP_006417390.1","1 to 1","SSD","WP_000106446.1","1 to 1","SSD","WP_013052572.1","1 to 1","SSD","NP_232020.1"
"16128027","b0033","NP_414574.1","carbamoyl-phosphate synthase large subunit","1 to 1","SSD","WP_010948325.1","1 to 1","SSD","WP_014516924.1","1 to 1","RBB","WP_012213688.1","1 to 1","SSD","WP_001126297.1","1 to 1","SSD","WP_013052571.1","1 to 1","SSD","NP_232019.1"
"90111079","b0034","NP_414576.4","DNA-binding transcriptional activator","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111080","b0035","NP_414577.2","stimulator of CaiD and CaiB enzyme activities","0","N/A","","0","N/A","","0","N/A","","1 to 2","RBB","WP_001112257.1","0","N/A","","0","N/A",""
"221800779","b0036","NP_414578.2","carnitinyl-CoA dehydratase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"221800780","b0037","NP_414579.4","probable crotonobetaine/carnitine-CoA ligase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128032","b0038","NP_414580.1","crotonobetainyl CoA:carnitine CoA transferase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128033","b0039","NP_414581.1","crotonobetaine reductase subunit II, FAD-binding","3 to 2","RBB","WP_014326831.1;WP_010948280.1;WP_010947550.1","0","N/A","","2 to 2","RBB","WP_012216538.1;WP_012213341.1","5 to 1","RBB","WP_001016269.1;WP_001053235.1;WP_000617392.1;WP_001160766.1;WP_000617419.1","1 to 2","RBB","WP_013050565.1;WP_013052369.1","0","N/A",""
"16128034","b0040","NP_414582.1","predicted transporter","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111081","b0041","NP_414583.2","predicted electron transfer flavoprotein subunit, required for anaerobic carnitine reduction","0","N/A","","0","N/A","","1 to 2","RBB","WP_012213833.1","1 to 2","Non-SSD","WP_000646179.1","2 to 1","Non-SSD","WP_013050550.1","0","N/A",""
"16128036","b0042","NP_414584.1","predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein","1 to 2","RBB","WP_010946658.1","0","N/A","","1 to 2","RBB","WP_012213832.1","1 to 2","RBB","WP_000025985.1","2 to 1","RBB","WP_013050551.1","0","N/A",""
"16128037","b0043","NP_414585.1","predicted oxidoreductase with FAD/NAD(P)-binding domain","1 to 3","RBB","WP_010947007.1","0","N/A","","2 to 3","RBB","WP_012213489.1;WP_012217813.1","1 to 3","RBB","WP_000400008.1","3 to 1","RBB","WP_013053502.1","0","N/A",""
"16128038","b0044","NP_414586.1","predicted 4Fe-4S ferredoxin-type protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16128039","b0045","NP_414587.1","predicted transporter","0","N/A","","0","N/A","","0","N/A","","1 to 2","RBB","YP_005515290","0","N/A","","0","N/A",""
"16128040","b0046","NP_414588.1","flavoprotein subunit for the KefC potassium efflux system","0","N/A","","0","N/A","","1 to 2","RBB","WP_012217501.1","1 to 1","RBB","WP_001196271.1","0","N/A","","0","N/A",""
